from,to,is_immune
myeloid leukocyte,immune,FALSE
slow muscle cell,muscle,FALSE
enterocyte of epithelium of small intestine,epithelial,FALSE
ciliated epithelial cell,epithelial,FALSE
Leydig cell,reproductive,FALSE
GABAergic amacrine cell,neuron,FALSE
diffuse bipolar 3b cell,neuron,FALSE
osteoblast,progenitor,FALSE
corneal epithelial cell,epithelial,FALSE
mature microglial cell,glial,FALSE
mature astrocyte,glial,FALSE
retinal astrocyte,glial,FALSE
brush cell of trachea,secretory,FALSE
mesothelial cell of epicardium,mesothelial,FALSE
thyroid follicular cell,endocrine,FALSE
visceromotor neuron,neuron,FALSE
choroid plexus epithelial cell,epithelial,FALSE
skeletal muscle fibroblast,muscle,FALSE
bronchial epithelial cell,epithelial,FALSE
cortical cell of adrenal gland,endocrine,FALSE
inflammatory cell,immune,FALSE
fibroblast of connective tissue of glandular part of prostate,stromal,FALSE
vasa recta descending limb cell,renal,FALSE
lung microvascular endothelial cell,endothelial,FALSE
conjunctival epithelial cell,epithelial,FALSE
smooth muscle cell of sphincter of pupil,muscle,FALSE
eye photoreceptor cell,neuron,FALSE
epithelial cell of small intestine,epithelial,FALSE
pyramidal neuron,neuron,FALSE
sebaceous gland cell,epithelial,FALSE
granular cell of epidermis,epithelial,FALSE
bone marrow cell,bone,FALSE
mesothelial cell of pleura,mesothelial,FALSE
neuron,neuron,FALSE
endothelial cell,endothelial,FALSE
prickle cell,epidermal,FALSE
renal beta-intercalated cell,renal,FALSE
intestinal epithelial cell,epithelial,FALSE
enteroendocrine cell,endocrine,FALSE
L2/3-6 intratelencephalic projecting glutamatergic neuron,neuron,FALSE
vip GABAergic cortical interneuron,neuron,FALSE
club cell,epithelial,FALSE
mammary gland epithelial cell,epithelial,FALSE
endothelial cell of uterus,endothelial,FALSE
endothelial cell of lymphatic vessel,endothelial,FALSE
vascular associated smooth muscle cell,muscle,FALSE
lung perichondrial fibroblast,stromal,FALSE
type EC enteroendocrine cell,endocrine,FALSE
pancreatic acinar cell,secretory,FALSE
supporting cell,epithelial,FALSE
contractile cell,muscle,FALSE
theca cell,reproductive,FALSE
stem cell of epidermis,epithelial,FALSE
retinal rod cell,neuron,FALSE
promyelocyte,immune,FALSE
brain vascular cell,pericyte,FALSE
progenitor cell,progenitor,FALSE
kidney capillary endothelial cell,endothelial,FALSE
mesodermal cell,stromal,FALSE
GIP cell,endocrine,FALSE
mesenchymal lymphangioblast,progenitor,FALSE
mesothelial fibroblast,stromal,FALSE
tendon cell,stromal,FALSE
S cone cell,neuron,FALSE
diffuse bipolar 2 cell,neuron,FALSE
diffuse bipolar 6 cell,neuron,FALSE
parietal cell,epithelial,FALSE
smooth muscle myoblast,muscle,FALSE
endothelial cell of sinusoid,endothelial,FALSE
mononuclear phagocyte,immune,FALSE
retina horizontal cell,neuron,FALSE
embryonic stem cell,progenitor,FALSE
